index,mask,binary,kind,bits,frame
0,0,00000000,interior,NONE,terrain_coast_mask_000
1,1,00000001,edge,N,terrain_coast_mask_001
2,2,00000010,inner-bay,NE,terrain_coast_mask_002
3,4,00000100,edge,E,terrain_coast_mask_004
4,5,00000101,outer-corner,"N,E",terrain_coast_mask_005
5,8,00001000,inner-bay,SE,terrain_coast_mask_008
6,9,00001001,edge,"N,SE",terrain_coast_mask_009
7,10,00001010,inner-bay,"NE,SE",terrain_coast_mask_010
8,16,00010000,edge,S,terrain_coast_mask_016
9,17,00010001,channel,"N,S",terrain_coast_mask_017
10,18,00010010,edge,"NE,S",terrain_coast_mask_018
11,20,00010100,outer-corner,"E,S",terrain_coast_mask_020
12,21,00010101,peninsula,"N,E,S",terrain_coast_mask_021
13,32,00100000,inner-bay,SW,terrain_coast_mask_032
14,33,00100001,edge,"N,SW",terrain_coast_mask_033
15,34,00100010,inner-bay,"NE,SW",terrain_coast_mask_034
16,36,00100100,edge,"E,SW",terrain_coast_mask_036
17,37,00100101,outer-corner,"N,E,SW",terrain_coast_mask_037
18,40,00101000,inner-bay,"SE,SW",terrain_coast_mask_040
19,41,00101001,edge,"N,SE,SW",terrain_coast_mask_041
20,42,00101010,inner-bay,"NE,SE,SW",terrain_coast_mask_042
21,64,01000000,edge,W,terrain_coast_mask_064
22,65,01000001,outer-corner,"N,W",terrain_coast_mask_065
23,66,01000010,edge,"NE,W",terrain_coast_mask_066
24,68,01000100,channel,"E,W",terrain_coast_mask_068
25,69,01000101,peninsula,"N,E,W",terrain_coast_mask_069
26,72,01001000,edge,"SE,W",terrain_coast_mask_072
27,73,01001001,outer-corner,"N,SE,W",terrain_coast_mask_073
28,74,01001010,edge,"NE,SE,W",terrain_coast_mask_074
29,80,01010000,outer-corner,"S,W",terrain_coast_mask_080
30,81,01010001,peninsula,"N,S,W",terrain_coast_mask_081
31,82,01010010,outer-corner,"NE,S,W",terrain_coast_mask_082
32,84,01010100,peninsula,"E,S,W",terrain_coast_mask_084
33,85,01010101,islet,"N,E,S,W",terrain_coast_mask_085
34,128,10000000,inner-bay,NW,terrain_coast_mask_128
35,130,10000010,inner-bay,"NE,NW",terrain_coast_mask_130
36,132,10000100,edge,"E,NW",terrain_coast_mask_132
37,136,10001000,inner-bay,"SE,NW",terrain_coast_mask_136
38,138,10001010,inner-bay,"NE,SE,NW",terrain_coast_mask_138
39,144,10010000,edge,"S,NW",terrain_coast_mask_144
40,146,10010010,edge,"NE,S,NW",terrain_coast_mask_146
41,148,10010100,outer-corner,"E,S,NW",terrain_coast_mask_148
42,160,10100000,inner-bay,"SW,NW",terrain_coast_mask_160
43,162,10100010,inner-bay,"NE,SW,NW",terrain_coast_mask_162
44,164,10100100,edge,"E,SW,NW",terrain_coast_mask_164
45,168,10101000,inner-bay,"SE,SW,NW",terrain_coast_mask_168
46,170,10101010,inner-bay,"NE,SE,SW,NW",terrain_coast_mask_170
